work_year,experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,salary
2022,3,2,75,100,70,1,230000
2022,3,2,75,100,70,1,175000
2023,3,2,75,100,70,1,288000
2023,3,2,75,0,70,1,116000
2023,3,2,75,0,70,1,142200
2023,3,2,75,0,70,1,167500
2023,3,2,75,0,70,1,291500
2022,3,2,75,0,70,0,160000
2023,2,2,75,0,70,1,120000
2023,3,2,75,0,70,1,170000
2022,2,2,75,100,70,1,115500
2022,3,2,75,0,70,1,100000
2023,2,2,75,0,70,1,120000
2022,2,0,39,100,70,2,60000
2022,3,2,75,0,70,1,172200
2022,3,2,75,100,70,1,127000
2023,3,2,75,0,70,1,180000
2023,0,2,75,100,70,1,62000
2022,2,2,75,0,70,1,100000
2022,2,2,75,0,70,1,105000
2022,0,2,11,100,12,0,51081
2023,3,2,57,50,54,0,100000
2022,3,2,75,100,70,0,195400
2023,3,2,75,0,70,1,109400
2023,3,2,75,0,70,1,165000
2023,3,2,75,100,70,1,136000
2022,2,2,75,100,70,1,160000
2023,0,2,75,0,70,1,190000
2022,2,2,75,100,70,1,100000
2023,3,2,75,0,70,1,140000
2023,3,2,75,0,70,1,145000
2023,3,2,75,100,70,1,201450
2022,3,2,75,0,70,1,95000
2023,3,2,75,100,70,1,262000
2023,2,2,29,0,28,1,127599
2023,3,2,75,0,70,1,148750
2022,3,2,75,100,70,1,188700
2022,2,2,11,0,12,1,65000
2023,3,2,75,100,70,1,183000
2022,3,2,75,100,70,1,117000
2021,0,2,45,100,43,2,9272
2020,3,2,61,100,28,2,114047
2023,3,2,75,0,70,1,133300
2023,3,2,75,100,70,1,130000
2023,2,2,75,0,70,1,90000
2022,3,2,75,0,70,0,159000
2022,3,2,29,0,28,1,103432
2021,3,2,75,100,70,0,174000
2023,3,2,75,0,70,1,81500
2023,3,2,75,100,70,1,154600
2022,2,2,29,100,28,1,86193
2023,3,2,26,100,25,1,55800
2023,2,2,75,100,70,1,120000
2022,3,2,75,0,70,1,300000
2022,3,2,75,100,70,1,141525
2022,2,2,75,0,70,1,102100
2022,3,2,75,100,70,1,136600
2023,3,2,75,100,70,1,80000
2023,3,2,75,0,70,1,64980
2022,3,2,75,100,70,1,149040
2023,3,2,75,0,70,1,113000
2022,3,2,75,100,70,1,142127
