title,company,experience,location,salary,description,skills,url,search_role
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,"Hybrid - Hyderabad, Pune, Bengaluru",Not disclosed,Infosys Hiring for Data Scientist + Machine Learning EngineerExperience:5-10 YearsSkil...,"Data Science, Machine Learning, Natural Language Processing, Deep Learning, Python, Science, Machine, Processing",https://www.naukri.com/job-listings-data-scientist-machine-learning-5-10-years-infosys-hyderabad-pune-bengaluru-5-to-10-years-050126030206,data-scientist
Data Scientist,WNS Holdings,,,Not disclosed,"Location: [To be specified] Experience: 4+ years in software development, with minimum ...","Data Science, Fast Api, Aiml, Cloud Platform, Python, Artificial Intelligence, Rest Api Development, Machine Learning",https://www.naukri.com/job-listings-data-scientist-wns-holdings-pune-gurugram-bengaluru-4-to-8-years-190226036865,data-scientist
Data Scientist-6-10Yrs-PAN INDIA,Crescendo Global Leadership Hiring India,6-11 Yrs,"Hybrid - Pune, Bengaluru, Delhi / NCR",Not disclosed,Minimum Qualifications: . Bachelors degree in computer science or a related field OR ma...,"GENERATIVE AI, RAG, DATA SCIENTIST, LLM, PYTHON, SCIENTIST, Data, Artificial Intelligence",https://www.naukri.com/job-listings-data-scientist-6-10yrs-pan-india-crescendo-global-leadership-hiring-india-pune-bengaluru-delhi-ncr-6-to-11-years-190226027307,data-scientist
Revenue Growth Management-Data Scientist,Infosys,8-13 Yrs,Bengaluru,Not disclosed,"Bachelor of Engineering, PhD of Computer Science Must have worked with Data science, ML...","data scientist, mlops, algorithms, python, data analytics, data processing, ai, databricks",https://www.naukri.com/job-listings-revenue-growth-management-data-scientist-infosys-limited-bengaluru-8-to-13-years-170226942530,data-scientist
Data Scientist,Tekskill,3-8 Yrs,"Pune, Gurugram, Bengaluru",Not disclosed,"Required Skills & Qualifications . Strong experience in Data Science, ML, and AI produc...","Data Science, Agentic Ai, Artificial Intelligence, Machine Learning, Python, Science, Intelligence, Data",https://www.naukri.com/job-listings-data-scientist-tekskills-pune-gurugram-bengaluru-3-to-8-years-180226012033,data-scientist
Data Scientist,Iris Software,7-9 Yrs,"Gurugram, Delhi / NCR",Not disclosed,Shift time: 08:00 am to 05:00 pm. Engineering and ETL experience including database mod...,"Pyspark, Machine Learning, Python, Data Science, Predictive Modeling, Power Bi, Artificial Intelligence, Natural Language Processing",https://www.naukri.com/job-listings-data-scientist-iris-software-gurugram-delhi-ncr-7-to-9-years-200226006936,data-scientist
Data Scientist,Caterpillar Inc,4-6 Yrs,Bengaluru,Not disclosed,Candidate should be flexible to work in rotational shifts including night shifts Releva...,"Supply chain, Mining, Data analysis, SAS, Data management, Business analytics, Analytical, Business intelligence",https://www.naukri.com/job-listings-data-scientist-caterpillar-brazil-bengaluru-4-to-6-years-200226500537,data-scientist
Data Scientist Gen AI- Offshore,EXL,1-6 Yrs,Gurugram,Not disclosed,"Required Skills: . 5+ years of experience in Data Science / ML, with 1+ year hands-on i...","Automation, Enterprise architecture, GCP, Machine learning, Healthcare, Transformers, data privacy, Customer service",https://www.naukri.com/job-listings-data-scientist-gen-ai-offshore-exl-services-com-i-pvt-ltd-gurugram-1-to-6-years-200226503530,data-scientist
Data Scientist,Cybage,5-8 Yrs,Pune,Not disclosed,"Troubleshoot complex issues related to AI model performance, data quality, and system i...","Data Science, Tensorflow, Artificial Intelligence, Natural Language Processing, RAG, Machine Learning, Deep Learning, Python",https://www.naukri.com/job-listings-data-scientist-cybage-pune-5-to-8-years-170226027560,data-scientist
Data Scientist,Wipro,5-10 Yrs,"Hybrid - Hyderabad, Chennai, Bengaluru",Not disclosed,What youll doThe ideal candidate will be responsible for analyzing large datasets to e...,"Predictive Modeling, MLOP, Statistical Modeling, Predictive, Data, Statistics, Modeling",https://www.naukri.com/job-listings-data-scientist-wipro-hyderabad-chennai-bengaluru-5-to-10-years-180226038989,data-scientist
Data Scientist,Mckinsey & Company,2-5 Yrs,"Hybrid - Gurugram, Bengaluru",Not disclosed,"Your ImpactCollaborating in a dynamic, multi-disciplinary team of 3-6 experts, you will...","Machine Learning Operations, Python, Predictive Modeling, Data Science, Devops Ci Cd, devops, Natural Language Processing, Machine Learning",https://www.naukri.com/job-listings-data-scientist-mckinsey-company-gurugram-bengaluru-2-to-5-years-090226029210,data-scientist
Data Scientist,HCLTech,5-10 Yrs,Hybrid - Bengaluru,16-22.5 Lacs PA,"Required Skills  experience with TensorFlow, PyTorch, Scikit-learnExperience with GenAI...","Data Science, Artificial Intelligence, Machine Learning, Data, Science, Machine, Intelligence",https://www.naukri.com/job-listings-data-scientist-hcltech-bengaluru-5-to-10-years-120226029853,data-scientist
